epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.4616	1.5289	|	0.6058	0.6416	0.6416	0.6416	|	0.3383	0.3664	0.3664	0.3664	|  Best result at epoch 0
1	1.3883	1.3653	|	0.4206	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
2	1.3878	1.5210	|	0.4251	0.5256	0.5256	0.5256	|	0.3454	0.3664	0.3664	0.3664	|  Best result at epoch 0
3	1.3716	1.6322	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
4	1.3827	1.7872	|	0.4214	0.5256	0.5256	0.5256	|	0.2544	0.3088	0.3088	0.3088	|  Best result at epoch 0
5	1.3810	1.5583	|	0.3713	0.4376	0.4376	0.4376	|	0.2933	0.4000	0.4000	0.4000	|  Best result at epoch 0
6	1.3728	1.5950	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
7	1.3624	1.7969	|	0.3713	0.4376	0.4376	0.4376	|	0.2958	0.4000	0.4000	0.4000	|  Best result at epoch 0
8	1.3646	1.7820	|	0.3713	0.4376	0.4376	0.4376	|	0.2958	0.4000	0.4000	0.4000	|  Best result at epoch 0
9	1.3627	1.3583	|	0.3465	0.3854	0.3854	0.3854	|	0.2910	0.3118	0.3118	0.3118	|  Best result at epoch 0
10	1.3699	1.4098	|	0.4214	0.5256	0.5256	0.5256	|	0.2521	0.3088	0.3088	0.3088	|  Best result at epoch 0
11	1.3787	1.2784	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
12	1.3856	1.7797	|	0.3133	0.4014	0.4014	0.4014	|	0.3691	0.4268	0.4268	0.4268	|  Best result at epoch 0
13	1.3818	1.7397	|	0.4150	0.5026	0.5026	0.5026	|	0.3471	0.3836	0.3836	0.3836	|  Best result at epoch 0
14	1.3667	1.7712	|	0.4697	0.4946	0.4946	0.4946	|	0.2769	0.3350	0.3350	0.3350	|  Best result at epoch 0
15	1.3561	1.7577	|	0.4206	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
16	1.3565	1.7508	|	0.3751	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
17	1.3494	1.7416	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
18	1.3680	1.8042	|	0.3713	0.4376	0.4376	0.4376	|	0.2958	0.4000	0.4000	0.4000	|  Best result at epoch 0
19	1.3677	1.7927	|	0.4214	0.5256	0.5256	0.5256	|	0.2521	0.3088	0.3088	0.3088	|  Best result at epoch 0
20	1.3479	1.7187	|	0.4374	0.5536	0.5536	0.5536	|	0.2604	0.3260	0.3260	0.3260	|  Best result at epoch 0
21	1.3550	1.7803	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
22	1.3511	1.5050	|	0.4191	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
23	1.3600	1.4298	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
24	1.3678	1.7481	|	0.3713	0.4376	0.4376	0.4376	|	0.2958	0.4000	0.4000	0.4000	|  Best result at epoch 0
25	1.3629	1.7330	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
26	1.3500	1.7467	|	0.4266	0.5282	0.5282	0.5282	|	0.3543	0.3836	0.3836	0.3836	|  Best result at epoch 0
27	1.3637	1.6379	|	0.4073	0.4638	0.4638	0.4638	|	0.2601	0.3084	0.3084	0.3084	|  Best result at epoch 0
28	1.3526	1.7442	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
29	1.3488	1.7136	|	0.3671	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
30	1.3561	1.7457	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
31	1.3566	1.2653	|	0.4191	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
32	1.3624	1.7442	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
33	1.3603	1.7451	|	0.3671	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
34	1.3586	1.6801	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
35	1.3567	1.3617	|	0.4230	0.4756	0.4756	0.4756	|	0.3045	0.3368	0.3368	0.3368	|  Best result at epoch 0
36	1.3590	1.7813	|	0.4563	0.5398	0.5398	0.5398	|	0.2860	0.4008	0.4008	0.4008	|  Best result at epoch 0
37	1.3731	1.6199	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
38	1.3571	1.7313	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
39	1.3464	1.7413	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
40	1.3526	1.7375	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
41	1.3651	1.7107	|	0.3713	0.4376	0.4376	0.4376	|	0.2761	0.3424	0.3424	0.3424	|  Best result at epoch 0
42	1.3543	1.7407	|	0.4266	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
43	1.3460	1.7322	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
44	1.3464	1.7283	|	0.3630	0.4214	0.4214	0.4214	|	0.3234	0.3708	0.3708	0.3708	|  Best result at epoch 0
45	1.3600	1.7614	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
46	1.3455	1.2764	|	0.4015	0.4526	0.4526	0.4526	|	0.3363	0.3666	0.3666	0.3666	|  Best result at epoch 0
47	1.3434	1.7312	|	0.4237	0.5256	0.5256	0.5256	|	0.3076	0.3368	0.3368	0.3368	|  Best result at epoch 0
48	1.3543	1.7369	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
49	1.3488	1.7468	|	0.5168	0.5778	0.5778	0.5778	|	0.3204	0.3468	0.3468	0.3468	|  Best result at epoch 0
