epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.2220	1.0846	|	0.4990	0.5560	0.5560	0.5560	|	0.3415	0.3794	0.3794	0.3794	|  Best result at epoch 0
1	0.9443	1.1689	|	0.5071	0.5560	0.5560	0.5560	|	0.2886	0.3790	0.3790	0.3790	|  Best result at epoch 0
2	0.8941	1.2541	|	0.6581	0.6650	0.6650	0.6650	|	0.3448	0.4106	0.4106	0.4106	|  Best result at epoch 2
3	0.8762	1.2699	|	0.6585	0.6628	0.6628	0.6628	|	0.2911	0.3790	0.3790	0.3790	|  Best result at epoch 2
4	0.8597	1.4371	|	0.4437	0.4790	0.4790	0.4790	|	0.2772	0.3790	0.3790	0.3790	|  Best result at epoch 2
5	0.8481	1.3934	|	0.6328	0.6396	0.6396	0.6396	|	0.3443	0.4102	0.4102	0.4102	|  Best result at epoch 2
6	0.8353	1.5000	|	0.5724	0.5860	0.5860	0.5860	|	0.3443	0.4102	0.4102	0.4102	|  Best result at epoch 2
7	0.8139	1.4100	|	0.6324	0.6392	0.6392	0.6392	|	0.3298	0.3936	0.3936	0.3936	|  Best result at epoch 2
8	0.8006	1.5404	|	0.6053	0.6588	0.6588	0.6588	|	0.2384	0.3224	0.3224	0.3224	|  Best result at epoch 2
9	0.7974	1.5613	|	0.6047	0.6136	0.6136	0.6136	|	0.3677	0.4384	0.4384	0.4384	|  Best result at epoch 2
10	0.7755	1.4312	|	0.6324	0.6392	0.6392	0.6392	|	0.3448	0.4106	0.4106	0.4106	|  Best result at epoch 2
11	0.7865	1.3475	|	0.6550	0.6672	0.6672	0.6672	|	0.4321	0.4956	0.4956	0.4956	|  Best result at epoch 11
12	0.7882	1.6052	|	0.6022	0.6140	0.6140	0.6140	|	0.3454	0.4106	0.4106	0.4106	|  Best result at epoch 11
13	0.7647	1.4645	|	0.6324	0.6392	0.6392	0.6392	|	0.3300	0.3936	0.3936	0.3936	|  Best result at epoch 11
14	0.7859	1.5220	|	0.5944	0.6136	0.6136	0.6136	|	0.3454	0.4106	0.4106	0.4106	|  Best result at epoch 11
15	0.7808	1.8813	|	0.3788	0.4196	0.4196	0.4196	|	0.2019	0.3072	0.3072	0.3072	|  Best result at epoch 11
16	0.7698	1.7691	|	0.4074	0.4576	0.4576	0.4576	|	0.2869	0.3690	0.3690	0.3690	|  Best result at epoch 11
17	0.7753	1.8735	|	0.3468	0.4000	0.4000	0.4000	|	0.2830	0.3784	0.3784	0.3784	|  Best result at epoch 11
18	0.7551	1.5346	|	0.5722	0.5858	0.5858	0.5858	|	0.3311	0.3936	0.3936	0.3936	|  Best result at epoch 11
19	0.7774	1.5576	|	0.5722	0.5858	0.5858	0.5858	|	0.3300	0.3936	0.3936	0.3936	|  Best result at epoch 11
20	0.7574	1.6139	|	0.5565	0.6058	0.6058	0.6058	|	0.2484	0.3390	0.3390	0.3390	|  Best result at epoch 11
21	0.7578	2.0126	|	0.3602	0.4332	0.4332	0.4332	|	0.0795	0.1224	0.1224	0.1224	|  Best result at epoch 11
22	0.7666	1.5919	|	0.5954	0.6100	0.6100	0.6100	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 11
23	0.7512	1.7638	|	0.5063	0.5060	0.5060	0.5060	|	0.2977	0.3722	0.3722	0.3722	|  Best result at epoch 11
24	0.7536	1.8314	|	0.4871	0.5060	0.5060	0.5060	|	0.3467	0.4122	0.4122	0.4122	|  Best result at epoch 11
25	0.7441	1.5814	|	0.6324	0.6392	0.6392	0.6392	|	0.3311	0.3936	0.3936	0.3936	|  Best result at epoch 11
26	0.7509	1.6923	|	0.5582	0.6036	0.6036	0.6036	|	0.2205	0.2954	0.2954	0.2954	|  Best result at epoch 11
27	0.7390	1.5912	|	0.6025	0.6118	0.6118	0.6118	|	0.3454	0.4106	0.4106	0.4106	|  Best result at epoch 11
28	0.7368	1.7192	|	0.5700	0.5840	0.5840	0.5840	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 11
29	0.7424	1.5585	|	0.5055	0.5060	0.5060	0.5060	|	0.2780	0.3436	0.3436	0.3436	|  Best result at epoch 11
30	0.7564	1.6441	|	0.4281	0.4476	0.4476	0.4476	|	0.2542	0.2790	0.2790	0.2790	|  Best result at epoch 11
31	0.7455	1.6587	|	0.5039	0.5578	0.5578	0.5578	|	0.2985	0.3652	0.3652	0.3652	|  Best result at epoch 11
32	0.7385	1.5191	|	0.5972	0.6114	0.6114	0.6114	|	0.3277	0.3928	0.3928	0.3928	|  Best result at epoch 11
33	0.7562	1.4551	|	0.5600	0.5840	0.5840	0.5840	|	0.3516	0.3666	0.3666	0.3666	|  Best result at epoch 11
34	0.7579	1.6313	|	0.5949	0.6096	0.6096	0.6096	|	0.2985	0.3662	0.3662	0.3662	|  Best result at epoch 11
35	0.7367	1.5644	|	0.5949	0.6096	0.6096	0.6096	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 11
36	0.7323	1.5379	|	0.5949	0.6096	0.6096	0.6096	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 11
37	0.7399	1.5719	|	0.6398	0.6388	0.6388	0.6388	|	0.2880	0.3702	0.3702	0.3702	|  Best result at epoch 11
38	0.7363	1.5528	|	0.5972	0.6114	0.6114	0.6114	|	0.3454	0.4106	0.4106	0.4106	|  Best result at epoch 11
39	0.7312	1.4932	|	0.5946	0.6092	0.6092	0.6092	|	0.2992	0.3662	0.3662	0.3662	|  Best result at epoch 11
40	0.7221	1.6199	|	0.5793	0.6306	0.6306	0.6306	|	0.2445	0.3212	0.3212	0.3212	|  Best result at epoch 11
41	0.7420	1.9178	|	0.5993	0.6562	0.6562	0.6562	|	0.2641	0.3626	0.3626	0.3626	|  Best result at epoch 11
42	0.7282	1.4913	|	0.6581	0.6650	0.6650	0.6650	|	0.3398	0.4106	0.4106	0.4106	|  Best result at epoch 11
43	0.7240	1.5101	|	0.6578	0.6646	0.6646	0.6646	|	0.3430	0.4102	0.4102	0.4102	|  Best result at epoch 11
44	0.7281	1.5537	|	0.6001	0.6096	0.6096	0.6096	|	0.3212	0.3844	0.3844	0.3844	|  Best result at epoch 11
45	0.7351	1.5642	|	0.5949	0.6096	0.6096	0.6096	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 11
46	0.7301	1.4953	|	0.5972	0.6114	0.6114	0.6114	|	0.3277	0.3928	0.3928	0.3928	|  Best result at epoch 11
47	0.7252	1.5976	|	0.5970	0.6110	0.6110	0.6110	|	0.3431	0.4102	0.4102	0.4102	|  Best result at epoch 11
48	0.7202	1.5458	|	0.5972	0.6114	0.6114	0.6114	|	0.3296	0.3932	0.3932	0.3932	|  Best result at epoch 11
49	0.7298	1.5061	|	0.6303	0.6368	0.6368	0.6368	|	0.2456	0.3258	0.3258	0.3258	|  Best result at epoch 11
50	0.7171	1.5026	|	0.7092	0.7256	0.7256	0.7256	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 50
51	0.7109	1.6378	|	0.5946	0.6092	0.6092	0.6092	|	0.2992	0.3662	0.3662	0.3662	|  Best result at epoch 50
52	0.7114	2.9405	|	0.3414	0.4178	0.4178	0.4178	|	0.3225	0.4340	0.4340	0.4340	|  Best result at epoch 50
53	0.7356	1.7634	|	0.5783	0.6002	0.6002	0.6002	|	0.2579	0.3386	0.3386	0.3386	|  Best result at epoch 50
54	0.7209	1.5375	|	0.5780	0.6292	0.6292	0.6292	|	0.2218	0.2950	0.2950	0.2950	|  Best result at epoch 50
55	0.7319	1.6834	|	0.7503	0.7448	0.7448	0.7448	|	0.2247	0.2950	0.2950	0.2950	|  Best result at epoch 55
56	0.7121	1.5867	|	0.5949	0.6096	0.6096	0.6096	|	0.3208	0.3840	0.3840	0.3840	|  Best result at epoch 55
57	0.7153	1.6622	|	0.7092	0.7256	0.7256	0.7256	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
58	0.7102	1.5588	|	0.6710	0.7000	0.7000	0.7000	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
59	0.7328	1.6286	|	0.5779	0.6292	0.6292	0.6292	|	0.2212	0.2962	0.2962	0.2962	|  Best result at epoch 55
60	0.7032	1.8298	|	0.5946	0.6092	0.6092	0.6092	|	0.2992	0.3662	0.3662	0.3662	|  Best result at epoch 55
